Date,Total users,New users,Sessions,Average session duration,Bounce rate,Key events
20240802,4697,3208,6153,189.13728714383228,0.36632537,698
20241028,4749,3175,5807,186.7042867280868,0.43172033752367833,109
20241011,4363,3090,6347,155.2221063318103,0.4328028990074051,104
20240704,4364,3058,5174,165.82992022342484,0.4168921530730576,660
20240809,4460,3047,5617,204.94918395246572,0.36745593733309595,721
20240705,4056,2948,6075,152.70602584691358,0.34600823045267487,530
20241018,4152,2833,6115,168.58998428029437,0.4008176614881439,77
20241025,3948,2703,4687,180.96510037166632,0.4516748453168338,106
20240831,3409,2650,6445,116.53017895003879,0.31900698215671064,43
20240922,3300,2514,4417,153.35811806837222,0.44532488114104596,46
20240908,3230,2373,5236,170.79789235141328,0.3535141329258976,70
20240727,3077,2371,6147,147.8731376416138,0.2973808361802505,331
20240901,3083,2313,4702,132.17808684942577,0.3872820076563165,34
20240728,3087,2283,4711,181.2758248320951,0.3434514964975589,426
20240721,3151,2245,3677,183.82560213298882,0.42072341582812073,531
20240921,2993,2241,4884,147.09187555569207,0.3572891072891073,55
20241012,2938,2233,5012,130.0046315971668,0.3808858739026337,56
20240714,2973,2230,3559,195.54299130542287,0.47991008710311883,327
20240810,2969,2213,5980,110.56444650518394,0.2802675585284281,266
20240804,2926,2207,4324,178.56443613390377,0.37419056429232195,355
20240907,2924,2188,5544,109.45447313726551,0.3342352092352092,27
20240713,2859,2182,3280,190.1297702,0.5387195121951219,246
20240929,2996,2158,3949,240.95112703747785,0.4634084578374272,63
20240803,2851,2112,5801,112.4078650680917,0.26926392001379074,299
20240720,2752,2086,3292,148.16291213760633,0.5182260024301336,418
20240914,2757,2070,4974,121.0682102969441,0.38681141938078006,57
20241013,2806,2050,3699,202.7990323195458,0.4560692078940254,65
20240817,2717,2046,5152,118.8756537494177,0.30007763975155277,37
20240825,2735,2015,4260,135.64475327042254,0.3629107981220657,43
20240818,2738,1997,3945,148.01025076299112,0.4053231939163498,34
20240928,2716,1952,4740,126.67195615675104,0.36835443037974686,35
20240915,2636,1894,3577,158.3710861137825,0.4623986580933743,52
20240811,2623,1868,4098,143.32006333723768,0.3389458272327965,353
20240824,2416,1799,3728,144.8600363669528,0.37526824034334766,26
20241005,2471,1755,4062,171.41736571467257,0.38724766125061544,28
20241019,2423,1730,4387,126.22051389286528,0.3259630727148393,35
20241006,2442,1704,3329,152.85089929468307,0.40132171823370383,38
20241020,2336,1671,3173,202.60052639804601,0.43523479357075323,57
20241027,2297,1626,2875,134.9318225492174,0.5540869565217391,34
20241026,1901,1392,2494,93.10648176,0.6672012830793905,24
